tenure,Tenure_Group,MonthlyCharges,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,TechSupport,Service_Engagement,Contract,Churn
25,Standard(1-3yr),69.5,1,DSL,Credit card (automatic),Yes,Yes,3,Month-to-month,0
8,New(0-1yr),80.65,1,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,1
60,Loyal(3yr+),74.85,1,DSL,Credit card (automatic),Yes,Yes,5,One year,0
18,Standard(1-3yr),95.45,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
63,Loyal(3yr+),99.65,0,Fiber optic,Credit card (automatic),Yes,No,3,One year,0
66,Loyal(3yr+),108.45,1,Fiber optic,Electronic check,Yes,Yes,5,One year,0
34,Standard(1-3yr),24.95,0,No,Credit card (automatic),No,No internet service,0,Two year,0
72,Loyal(3yr+),107.5,0,Fiber optic,Credit card (automatic),Yes,Yes,4,Two year,0
47,Loyal(3yr+),100.5,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
60,Loyal(3yr+),89.9,0,Fiber optic,Bank transfer (automatic),Yes,No,2,Month-to-month,0
72,Loyal(3yr+),42.1,0,DSL,Bank transfer (automatic),No,No,3,Two year,0
18,Standard(1-3yr),54.4,0,DSL,Credit card (automatic),Yes,Yes,2,One year,0
9,New(0-1yr),94.4,0,Fiber optic,Electronic check,No,No,2,Month-to-month,1
3,New(0-1yr),75.3,0,DSL,Electronic check,Yes,Yes,4,Month-to-month,0
47,Loyal(3yr+),78.9,0,Fiber optic,Electronic check,Yes,No,1,One year,0
31,Standard(1-3yr),79.2,0,DSL,Mailed check,No,Yes,5,Two year,0
50,Loyal(3yr+),20.15,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
10,New(0-1yr),79.85,0,Fiber optic,Mailed check,Yes,No,2,Month-to-month,0
1,New(0-1yr),49.05,0,DSL,Mailed check,No,Yes,1,Month-to-month,0
52,Loyal(3yr+),20.4,0,No,Electronic check,Yes,No internet service,0,One year,0
64,Loyal(3yr+),111.6,1,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Two year,0
62,Loyal(3yr+),24.25,0,No,Bank transfer (automatic),Yes,No internet service,0,Two year,0
3,New(0-1yr),64.5,0,DSL,Bank transfer (automatic),Yes,Yes,3,Month-to-month,0
56,Loyal(3yr+),110.5,1,Fiber optic,Electronic check,No,No,5,One year,0
46,Loyal(3yr+),55.65,0,DSL,Credit card (automatic),No,No,1,One year,0
8,New(0-1yr),54.65,0,DSL,Mailed check,No,No,2,Month-to-month,0
30,Standard(1-3yr),74.75,1,DSL,Electronic check,Yes,No,4,Month-to-month,0
45,Loyal(3yr+),25.9,0,No,Credit card (automatic),Yes,No internet service,0,One year,0
1,New(0-1yr),79.35,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
11,New(0-1yr),50.55,0,DSL,Electronic check,No,No,3,Month-to-month,0
7,New(0-1yr),75.15,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,1
42,Loyal(3yr+),103.8,0,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Month-to-month,0
49,Loyal(3yr+),20.15,0,No,Bank transfer (automatic),Yes,No internet service,0,Two year,0
9,New(0-1yr),99.3,0,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,0
35,Standard(1-3yr),62.15,0,DSL,Bank transfer (automatic),Yes,No,2,One year,0
48,Loyal(3yr+),20.65,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
46,Loyal(3yr+),19.95,0,No,Mailed check,Yes,No internet service,0,Two year,0
29,Standard(1-3yr),33.75,0,DSL,Mailed check,No,No,1,Month-to-month,0
30,Standard(1-3yr),82.05,0,Fiber optic,Bank transfer (automatic),No,No,2,Month-to-month,0
1,New(0-1yr),74.7,1,Fiber optic,Electronic check,No,Yes,1,Month-to-month,0
66,Loyal(3yr+),84.0,0,DSL,Mailed check,Yes,Yes,5,Two year,0
65,Loyal(3yr+),111.05,0,Fiber optic,Credit card (automatic),Yes,No,5,Month-to-month,0
72,Loyal(3yr+),100.9,0,Fiber optic,Bank transfer (automatic),Yes,No,4,Two year,0
12,New(0-1yr),78.95,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
71,Loyal(3yr+),66.85,0,DSL,Credit card (automatic),Yes,Yes,3,One year,0
5,New(0-1yr),21.05,0,No,Mailed check,No,No internet service,0,Month-to-month,1
52,Loyal(3yr+),21.0,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
25,Standard(1-3yr),98.5,1,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
1,New(0-1yr),20.2,0,No,Mailed check,No,No internet service,0,Month-to-month,0
1,New(0-1yr),19.45,0,No,Electronic check,No,No internet service,0,Month-to-month,0
38,Loyal(3yr+),95.0,0,Fiber optic,Bank transfer (automatic),No,Yes,3,One year,0
66,Loyal(3yr+),45.55,1,DSL,Bank transfer (automatic),No,No,3,One year,0
68,Loyal(3yr+),110.0,0,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Two year,1
5,New(0-1yr),24.3,0,DSL,Mailed check,No,No,0,Month-to-month,0
72,Loyal(3yr+),104.15,0,Fiber optic,Electronic check,Yes,No,4,One year,0
32,Standard(1-3yr),30.15,0,DSL,Mailed check,No,No,1,One year,0
43,Loyal(3yr+),94.35,0,Fiber optic,Mailed check,No,No,2,One year,0
72,Loyal(3yr+),19.4,0,No,Credit card (automatic),No,No internet service,0,Two year,0
55,Loyal(3yr+),96.75,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
52,Loyal(3yr+),57.95,0,DSL,Credit card (automatic),No,Yes,3,One year,0
43,Loyal(3yr+),91.65,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
37,Loyal(3yr+),76.5,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
64,Loyal(3yr+),54.6,0,DSL,Electronic check,Yes,Yes,4,Two year,0
3,New(0-1yr),89.85,0,Fiber optic,Electronic check,No,No,3,Month-to-month,0
36,Standard(1-3yr),31.05,0,DSL,Bank transfer (automatic),No,No,1,Two year,0
10,New(0-1yr),100.25,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
41,Loyal(3yr+),20.65,0,No,Mailed check,No,No internet service,0,Two year,0
27,Standard(1-3yr),85.2,0,Fiber optic,Credit card (automatic),Yes,Yes,2,Month-to-month,0
56,Loyal(3yr+),99.8,0,Fiber optic,Credit card (automatic),Yes,No,3,One year,0
6,New(0-1yr),20.7,0,No,Mailed check,No,No internet service,0,Month-to-month,0
3,New(0-1yr),74.4,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
7,New(0-1yr),50.7,0,DSL,Mailed check,No,No,1,Month-to-month,0
4,New(0-1yr),20.85,0,No,Mailed check,No,No internet service,0,Month-to-month,0
33,Standard(1-3yr),88.95,0,Fiber optic,Electronic check,Yes,Yes,3,Two year,0
27,Standard(1-3yr),78.05,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
72,Loyal(3yr+),23.55,0,No,Bank transfer (automatic),Yes,No internet service,0,Two year,0
1,New(0-1yr),19.75,0,No,Mailed check,No,No internet service,0,Month-to-month,0
71,Loyal(3yr+),56.45,1,DSL,Electronic check,Yes,No,4,One year,0
13,Standard(1-3yr),85.95,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
25,Standard(1-3yr),58.6,0,DSL,Credit card (automatic),Yes,No,5,Month-to-month,1
67,Loyal(3yr+),50.55,0,DSL,Bank transfer (automatic),No,Yes,1,Two year,0
1,New(0-1yr),35.45,0,DSL,Electronic check,Yes,No,1,Month-to-month,1
2,New(0-1yr),44.35,0,DSL,Electronic check,No,No,0,Month-to-month,1
43,Loyal(3yr+),25.7,0,No,Credit card (automatic),Yes,No internet service,0,Two year,0
23,Standard(1-3yr),75.0,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,0
64,Loyal(3yr+),20.2,0,No,Mailed check,No,No internet service,0,Two year,0
57,Loyal(3yr+),19.6,0,No,Mailed check,Yes,No internet service,0,Two year,0
1,New(0-1yr),70.45,1,Fiber optic,Mailed check,Yes,No,0,Month-to-month,1
72,Loyal(3yr+),88.05,1,DSL,Credit card (automatic),Yes,Yes,6,Two year,0
8,New(0-1yr),71.15,0,DSL,Electronic check,No,Yes,3,Month-to-month,1
61,Loyal(3yr+),101.05,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Two year,0
64,Loyal(3yr+),84.3,0,Fiber optic,Credit card (automatic),Yes,No,2,One year,0
71,Loyal(3yr+),23.95,1,No,Bank transfer (automatic),No,No internet service,0,Two year,0
65,Loyal(3yr+),99.05,0,Fiber optic,Credit card (automatic),Yes,Yes,4,Two year,0
3,New(0-1yr),19.6,0,No,Mailed check,No,No internet service,0,One year,0
1,New(0-1yr),45.65,0,DSL,Electronic check,Yes,No,0,Month-to-month,1
30,Standard(1-3yr),64.5,0,DSL,Credit card (automatic),No,No,3,One year,0
15,Standard(1-3yr),69.5,0,DSL,Mailed check,Yes,Yes,4,Month-to-month,0
8,New(0-1yr),68.55,0,DSL,Electronic check,Yes,Yes,3,Month-to-month,0
7,New(0-1yr),95.0,0,Fiber optic,Mailed check,No,No,2,Month-to-month,1
70,Loyal(3yr+),108.15,0,Fiber optic,Credit card (automatic),Yes,No,5,One year,0
62,Loyal(3yr+),86.1,0,DSL,Electronic check,No,Yes,6,Two year,0
6,New(0-1yr),19.7,0,No,Mailed check,No,No internet service,0,Month-to-month,0
14,Standard(1-3yr),80.9,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,0
22,Standard(1-3yr),84.15,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,0
22,Standard(1-3yr),20.15,0,No,Mailed check,No,No internet service,0,One year,0
16,Standard(1-3yr),64.25,0,DSL,Mailed check,No,No,3,Two year,0
10,New(0-1yr),25.7,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
13,Standard(1-3yr),56.0,0,DSL,Electronic check,Yes,No,2,Month-to-month,0
20,Standard(1-3yr),82.4,0,Fiber optic,Electronic check,No,No,1,Month-to-month,1
2,New(0-1yr),69.7,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
53,Loyal(3yr+),73.9,0,DSL,Bank transfer (automatic),Yes,Yes,4,Two year,0
11,New(0-1yr),20.6,0,No,Mailed check,No,No internet service,0,One year,0
69,Loyal(3yr+),19.9,0,No,Mailed check,No,No internet service,0,Two year,0
4,New(0-1yr),70.9,0,Fiber optic,Bank transfer (automatic),Yes,No,0,Month-to-month,1
72,Loyal(3yr+),89.05,0,DSL,Bank transfer (automatic),Yes,Yes,6,Two year,0
58,Loyal(3yr+),45.3,1,DSL,Electronic check,Yes,No,3,Month-to-month,1
16,Standard(1-3yr),20.4,0,No,Electronic check,No,No internet service,0,Month-to-month,0
43,Loyal(3yr+),84.25,0,Fiber optic,Bank transfer (automatic),Yes,Yes,3,One year,0
2,New(0-1yr),104.4,0,Fiber optic,Electronic check,Yes,Yes,4,Month-to-month,1
14,Standard(1-3yr),81.95,0,DSL,Mailed check,No,Yes,5,Two year,0
53,Loyal(3yr+),94.85,0,Fiber optic,Bank transfer (automatic),Yes,No,3,One year,1
32,Standard(1-3yr),20.55,0,No,Bank transfer (automatic),No,No internet service,0,One year,0
34,Standard(1-3yr),24.7,0,No,Electronic check,No,No internet service,0,Month-to-month,0
15,Standard(1-3yr),74.45,1,Fiber optic,Mailed check,Yes,No,0,Month-to-month,1
7,New(0-1yr),76.45,1,Fiber optic,Bank transfer (automatic),No,No,1,Month-to-month,1
15,Standard(1-3yr),105.35,0,Fiber optic,Bank transfer (automatic),Yes,No,4,Month-to-month,0
61,Loyal(3yr+),20.55,0,No,Credit card (automatic),Yes,No internet service,0,One year,0
1,New(0-1yr),29.95,0,DSL,Bank transfer (automatic),No,No,1,Month-to-month,1
1,New(0-1yr),45.3,0,DSL,Mailed check,No,No,0,Month-to-month,0
8,New(0-1yr),84.5,0,Fiber optic,Bank transfer (automatic),No,No,1,Month-to-month,1
33,Standard(1-3yr),74.75,0,DSL,Credit card (automatic),No,No,4,One year,0
13,Standard(1-3yr),79.25,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
1,New(0-1yr),24.8,0,DSL,Electronic check,Yes,No,0,Month-to-month,1
20,Standard(1-3yr),51.8,0,DSL,Mailed check,Yes,No,1,Month-to-month,0
3,New(0-1yr),30.4,0,DSL,Electronic check,No,Yes,1,Month-to-month,0
13,Standard(1-3yr),19.65,0,No,Electronic check,No,No internet service,0,One year,0
40,Loyal(3yr+),56.6,0,DSL,Credit card (automatic),No,No,1,Month-to-month,0
43,Loyal(3yr+),71.9,0,DSL,Credit card (automatic),Yes,Yes,3,One year,0
6,New(0-1yr),91.0,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
69,Loyal(3yr+),19.75,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
72,Loyal(3yr+),109.7,0,Fiber optic,Credit card (automatic),No,No,5,Two year,0
59,Loyal(3yr+),19.3,0,No,Credit card (automatic),No,No internet service,0,Two year,0
20,Standard(1-3yr),96.55,0,Fiber optic,Electronic check,Yes,Yes,4,Month-to-month,0
24,Standard(1-3yr),24.1,0,No,Bank transfer (automatic),Yes,No internet service,0,Two year,0
59,Loyal(3yr+),111.35,0,Fiber optic,Electronic check,Yes,Yes,5,Month-to-month,0
72,Loyal(3yr+),112.25,0,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Two year,0
1,New(0-1yr),20.75,0,No,Mailed check,No,No internet service,0,Month-to-month,0
27,Standard(1-3yr),101.9,0,Fiber optic,Credit card (automatic),Yes,Yes,4,One year,0
14,Standard(1-3yr),80.05,0,Fiber optic,Credit card (automatic),Yes,Yes,2,Month-to-month,0
71,Loyal(3yr+),105.55,0,Fiber optic,Electronic check,No,No,4,Two year,0
13,Standard(1-3yr),78.3,0,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
44,Loyal(3yr+),68.85,0,Fiber optic,Credit card (automatic),No,No,0,Month-to-month,0
33,Standard(1-3yr),79.95,0,Fiber optic,Bank transfer (automatic),Yes,Yes,2,One year,0
72,Loyal(3yr+),55.45,0,DSL,Credit card (automatic),Yes,Yes,5,Two year,0
1,New(0-1yr),79.9,0,Fiber optic,Electronic check,No,No,1,Month-to-month,1
19,Standard(1-3yr),106.6,0,Fiber optic,Electronic check,Yes,Yes,5,Month-to-month,1
64,Loyal(3yr+),102.45,0,Fiber optic,Credit card (automatic),Yes,Yes,5,One year,0
2,New(0-1yr),46.0,0,DSL,Credit card (automatic),Yes,No,0,Month-to-month,1
1,New(0-1yr),25.25,0,DSL,Electronic check,No,No,0,Month-to-month,0
61,Loyal(3yr+),19.75,0,No,Mailed check,No,No internet service,0,Two year,0
29,Standard(1-3yr),20.0,0,No,Electronic check,No,No internet service,0,One year,0
23,Standard(1-3yr),86.8,1,Fiber optic,Electronic check,No,No,1,Month-to-month,0
57,Loyal(3yr+),58.75,0,DSL,Bank transfer (automatic),Yes,No,5,Month-to-month,0
72,Loyal(3yr+),45.25,0,DSL,Credit card (automatic),No,Yes,4,Two year,0
66,Loyal(3yr+),56.6,0,DSL,Bank transfer (automatic),Yes,Yes,5,Two year,0
65,Loyal(3yr+),84.2,0,DSL,Bank transfer (automatic),Yes,Yes,5,Two year,0
8,New(0-1yr),80.0,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,0
4,New(0-1yr),70.15,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
71,Loyal(3yr+),24.75,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
1,New(0-1yr),20.2,0,No,Electronic check,Yes,No internet service,0,One year,0
4,New(0-1yr),50.05,0,DSL,Mailed check,No,Yes,1,Month-to-month,1
12,New(0-1yr),19.35,0,No,Bank transfer (automatic),Yes,No internet service,0,One year,0
24,Standard(1-3yr),50.6,0,DSL,Mailed check,Yes,No,3,One year,0
31,Standard(1-3yr),81.15,0,DSL,Mailed check,Yes,Yes,5,One year,0
1,New(0-1yr),55.2,0,DSL,Mailed check,No,No,1,Month-to-month,1
30,Standard(1-3yr),89.9,0,Fiber optic,Credit card (automatic),Yes,Yes,2,Month-to-month,0
47,Loyal(3yr+),85.3,0,DSL,Credit card (automatic),Yes,Yes,5,Two year,0
54,Loyal(3yr+),108.0,0,Fiber optic,Credit card (automatic),Yes,Yes,5,Two year,0
50,Loyal(3yr+),93.5,0,Fiber optic,Credit card (automatic),Yes,Yes,4,Month-to-month,0
1,New(0-1yr),84.6,0,Fiber optic,Mailed check,Yes,No,2,Month-to-month,1
72,Loyal(3yr+),20.25,0,No,Credit card (automatic),No,No internet service,0,Two year,0
29,Standard(1-3yr),25.15,0,No,Electronic check,No,No internet service,0,Month-to-month,0
2,New(0-1yr),54.4,0,DSL,Mailed check,Yes,No,1,Month-to-month,1
10,New(0-1yr),29.6,0,DSL,Mailed check,Yes,Yes,1,Two year,0
18,Standard(1-3yr),73.15,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
11,New(0-1yr),95.0,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
16,Standard(1-3yr),19.75,0,No,Mailed check,No,No internet service,0,Two year,0
72,Loyal(3yr+),86.6,0,DSL,Bank transfer (automatic),No,Yes,5,Two year,0
72,Loyal(3yr+),109.2,0,Fiber optic,Bank transfer (automatic),No,Yes,5,Two year,0
41,Loyal(3yr+),74.7,0,DSL,Credit card (automatic),Yes,Yes,4,One year,0
65,Loyal(3yr+),94.4,1,Fiber optic,Electronic check,No,No,4,Month-to-month,0
13,Standard(1-3yr),54.8,1,DSL,Electronic check,Yes,No,2,Month-to-month,0
4,New(0-1yr),75.35,1,Fiber optic,Electronic check,No,No,1,Month-to-month,0
41,Loyal(3yr+),65.0,0,DSL,Mailed check,No,No,2,One year,0
15,Standard(1-3yr),74.4,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
1,New(0-1yr),48.55,0,DSL,Mailed check,Yes,No,1,Month-to-month,1
42,Loyal(3yr+),99.0,0,Fiber optic,Electronic check,Yes,No,4,One year,0
51,Loyal(3yr+),93.5,0,Fiber optic,Electronic check,Yes,No,4,One year,0
2,New(0-1yr),70.4,0,Fiber optic,Electronic check,No,No,0,Month-to-month,1
1,New(0-1yr),40.2,1,DSL,Electronic check,No,No,2,Month-to-month,1
32,Standard(1-3yr),83.7,0,DSL,Credit card (automatic),No,Yes,5,One year,0
10,New(0-1yr),19.85,0,No,Mailed check,Yes,No internet service,0,Month-to-month,0
67,Loyal(3yr+),59.55,0,DSL,Electronic check,Yes,Yes,5,Two year,0
61,Loyal(3yr+),115.1,0,Fiber optic,Credit card (automatic),No,Yes,6,Two year,0
50,Loyal(3yr+),114.35,0,Fiber optic,Credit card (automatic),No,Yes,6,One year,0
2,New(0-1yr),44.6,0,DSL,Credit card (automatic),Yes,No,0,Month-to-month,1
29,Standard(1-3yr),45.0,1,DSL,Electronic check,Yes,No,3,Month-to-month,0
3,New(0-1yr),41.15,1,DSL,Electronic check,Yes,No,2,Month-to-month,1
13,Standard(1-3yr),106.9,1,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
57,Loyal(3yr+),89.85,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
31,Standard(1-3yr),49.85,0,DSL,Bank transfer (automatic),Yes,Yes,4,Two year,0
45,Loyal(3yr+),113.3,0,Fiber optic,Mailed check,No,Yes,6,One year,0
61,Loyal(3yr+),88.1,0,DSL,Mailed check,No,Yes,6,Two year,0
50,Loyal(3yr+),24.9,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
19,Standard(1-3yr),105.0,1,Fiber optic,Mailed check,Yes,Yes,5,Month-to-month,0
59,Loyal(3yr+),19.35,0,No,Mailed check,No,No internet service,0,Two year,1
71,Loyal(3yr+),24.25,0,No,Credit card (automatic),Yes,No internet service,0,Two year,0
16,Standard(1-3yr),94.45,1,Fiber optic,Electronic check,Yes,Yes,3,Month-to-month,1
57,Loyal(3yr+),59.75,0,DSL,Electronic check,Yes,Yes,3,Two year,0
1,New(0-1yr),24.8,0,DSL,Bank transfer (automatic),No,No,0,Month-to-month,1
20,Standard(1-3yr),107.05,1,Fiber optic,Electronic check,No,Yes,4,Month-to-month,0
1,New(0-1yr),70.6,0,Fiber optic,Mailed check,No,No,0,Month-to-month,1
5,New(0-1yr),85.4,0,Fiber optic,Electronic check,Yes,Yes,2,Month-to-month,1
52,Loyal(3yr+),105.05,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
21,Standard(1-3yr),64.95,1,DSL,Bank transfer (automatic),Yes,No,3,Month-to-month,0
14,Standard(1-3yr),55.0,0,DSL,Electronic check,Yes,Yes,4,Month-to-month,0
5,New(0-1yr),50.55,0,DSL,Bank transfer (automatic),No,No,1,Month-to-month,0
6,New(0-1yr),55.15,0,DSL,Mailed check,No,No,2,Month-to-month,0
10,New(0-1yr),51.2,0,DSL,Electronic check,No,No,1,Month-to-month,0
1,New(0-1yr),25.4,0,No,Mailed check,No,No internet service,0,Month-to-month,0
68,Loyal(3yr+),54.45,0,DSL,Mailed check,No,No,1,Month-to-month,0
18,Standard(1-3yr),95.15,0,Fiber optic,Mailed check,No,No,3,Month-to-month,1
22,Standard(1-3yr),76.0,0,Fiber optic,Credit card (automatic),Yes,No,0,One year,0
20,Standard(1-3yr),44.35,0,DSL,Electronic check,Yes,No,0,Month-to-month,0
1,New(0-1yr),70.0,0,Fiber optic,Electronic check,No,No,0,Month-to-month,1
8,New(0-1yr),74.5,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
10,New(0-1yr),44.85,0,DSL,Credit card (automatic),Yes,No,0,Month-to-month,1
24,Standard(1-3yr),76.1,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
35,Standard(1-3yr),61.2,0,DSL,Mailed check,No,No,3,One year,0
23,Standard(1-3yr),86.8,0,Fiber optic,Mailed check,No,Yes,3,One year,0
6,New(0-1yr),89.35,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
12,New(0-1yr),19.7,0,No,Mailed check,No,No internet service,0,Month-to-month,0
1,New(0-1yr),20.25,0,No,Mailed check,No,No internet service,0,Month-to-month,0
71,Loyal(3yr+),76.05,0,Fiber optic,Electronic check,No,No,1,Two year,0
35,Standard(1-3yr),100.8,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
40,Loyal(3yr+),74.55,0,DSL,Electronic check,Yes,No,3,Month-to-month,0
1,New(0-1yr),73.6,0,Fiber optic,Mailed check,Yes,No,1,Month-to-month,1
23,Standard(1-3yr),64.9,0,DSL,Bank transfer (automatic),Yes,No,2,One year,0
4,New(0-1yr),95.45,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
